,Botanical Name,Common Names,Plant Type,Sun Exposure,Soil Type,Soil pH,Bloom Time,Flower Color,Native Area,Toxicity,Family Name
256,Asclepias curassavica,"Blood flower (bloodflower) tropical milkweed, Mexican butterfly weed","Herbaceous perennial, subshrub","Full, partial",Well-drained,Slightly acidic to slightly alkaline (6.1–7.5),Early summer to fall,"Yellow, orange, red","Caribbean, Central America, South America",Toxic to animals and people,
518,Iresine herbstii,"Bloodleaf, chicken gizzard, beefsteak plant",Herbaceous perennial,"Full sun, partial shade","Loamy, soil-based potting mixture",5.6 to 5.9,Flowers not showy,Green-white,Brazil,,
387,Syringa x,"Bloomerang lilac, reblooming lilac",Deciduous shrub,Full sun,Loamy,Slightly alkaline 7.5,Spring and mid-summer through fall,"Lavender, pink, purple",Non-native hybrid,,
389,Achyrachaena mollis,"Blow wives, soft blow wives",Annual,Full sun,Sandy loam to clay,Acidic to alkaline,"Spring, summer",Yellow,Western North America,,Asteraceae
391,Cedrus atlantica,"Blue Atlas cedar, Atlas cedar",Needled evergreen tree,"Full, partial",Well-drained,Acidic,Non-flowering,Non-flowering,Africa,,Pinaceae
394,Buddleia davidii 'Blue Chip',Blue Chip butterfly bush,Shrub,Full,Well-drained,"Acidic, neutral","Summer, fall","Blue, purple","Cultivar, no native range",,Scrophulariaceae
399,Conoclinium coelestinum,"Blue Mistflower, Blue Boneset, Wild Ageratum, Hardy Ageratum",Perennial,"Full, partial","Loamy, sandy, clay, moist","Mildly acidic, neutral","Summer, fall","Blue, purple","Central and southeastern U.S., Canada, West Indies",,
401,,"Blue Princess holly, blue holly",Shrub (broadleaf evergreen),"Full, partial","Moist, well-drained","Acidic, neutral (5.0—7.0)",Spring,White,Nursery hybrid,Mildly toxic to people and pets,Aquifoliaceae
405,Picea pungens,"Blue Spruce, Green Spruce, White Spruce, Colorado Spruce, Colorado Blue Spruce",Tree,Full,"Loamy, clay, sandy, moist, rich, well-drained","Acidic, neutral",,,North America,,Pinaceae
473,"Plectranthus barbatus, Coleus barbatus","Blue Spur Flower, Candlestick Plant, Speckled Spur Flower, Zulu Wonder",Perennial,Sun to partial shade,"Rich, well-draining",Neutral to acidic,Late summer to early fall,Lavender,Africa,,
733,Baptisia australis,"Blue Wild Indigo, False Indigo",Perennial,"Full, partial","Moderately moist, well-draining","Slightly acidic, neutral (5.0-6.8)",Late spring to early summer,Blue,North America (Eastern U.S.),"Mildly toxic to humans, animals",Fabaceae
390,Fraxinus quadrangulata,Blue ash,Deciduous tree,Full,"Well-drained, sandy loam",Acidic to alkaline (5.6–8.4),"Spring, summer",Purple (not showy),North America,,Oleaceae
393,Caryopteris × clandonensis,"Blue beard, blue mist, blue spirea",Deciduous shrub or woody perennial,Full,"Medium moisture, well-drained",Neutral (6.5 to 7.5),Midsummer to early fall,"Blue, purple; pink cultivars available",Hybrid; parent species native to east Asia,,Lamiaceae
397,Festuca glauca,"Blue fescue, blue fescue grass","Perennial, grass","Full, part","Moist, well-draining","Neutral, acidic, alkaline",Summer,"Green, yellow",Europe,,Poaceae
400,Helictotrichon sempervirens,Blue oat grass,Perennial,Full sun,Dry and well-drained,Slightly acidic to neutral,Summer,Blue,Europe,,Poaceae
402,Juniperus horizontalis 'Wiltonii',"Blue rug juniper, creeping juniper, carpet juniper","Evergreen shrub, groundcover",Full,Well-drained,"Acidic, neutral, alkaline",,,North America,,Cupressaceae
406,Isotoma fluviatilis,"Blue star creeper, swamp isotome","Herbaceous, perennial","Full, partial","Moist, well-draining","Acidic, neutral","Spring, summer","Blue, purple","Australia, New Zealand",,Campanulaceae
407,Juniperus squamata 'Blue Star',"Blue star juniper, flaky juniper, Himalayan juniper, singleseed juniper",Shrub,Full,Sandy,"Acidic, alkaline",,,Asia,,Cupressaceae
396,Sisyrinchium angustifolium,"Blue-eyed grass, narrow-leaved blue-eyed grass",Perennial,"Full, partial","Moist, well-drained",Acidic to neutral (5.0 to 7.0),"Late spring, early summer",Blue-violet,Eastern North America (Northern Florida to Canada),,Iridaceae
409,Vaccinium spp.,Blueberry,"Fruit, perennial",Full sun,"Sandy, well-drained",Acidic (4.0 to 5.2),Spring,,North America,,Ericaceae
898,Philodendron erubescens,"Blushing philodendron, red-leaf philodendron, imperial red philodendron",Perennial,Partial,"Well-drained, loamy","Neutral, acidic","Spring, summer",Red,"Central America, South America",Toxic to people and pets,Araceae
410,Hydrangea paniculata 'Ilvobo',Bobo hydrangea,Deciduous shrub,"Full, partial","Loamy, well-drained",Acidic,Summer,White,"Cultivar, no native range",Toxic to dogs and cats,Hydrangeaceae
412,Brassica rapa var. chinensis,"Bok choy, Chinese cabbage, bok choi, pac choy, pac choi",Biennial vegetable (usually grown as annual),"Full sun, part shade","Rich, well-drained",6.5 to 7.0 (slightly acid to neutral),Summer,,China,,Chinese brassicas
413,Eupatorium perfoliatum,"Boneset, American boneset, feverwort, thoroughwort",Herbaceous perennial,"Full, partial",Moist; sandy or clay,6.5 to 7,July to September,White,North America,Toxic to people,Asteraceae
415,Pinus Bonsai,Bonsai pine,"Evergreen, coniferous tree",Full,"Well-drained, bonsai soil","Acidic, Neutral",,,"North America, China, South-East Asia, Russia, Europe",,Pinus
416,Borago officinalis,"Borage, starflower, tailwort","Annual, herb","Full sun, partial sun",Well-drained,"Acidic, neutral, alkaline",Summer,Blue,Mediterranean,Toxic to people and pets,Boraginaceae
418,Parthenocissus tricuspidata,Boston ivy,"Vine, perennial","Full, partial","Loamy, moist","Acidic, alkaline",,,Asia,"Toxic to people, toxic to pets",Vitaceae
421,Acer negundo,"Boxelder, ashleaf maple",Tree,,Moist,,,,North America,Toxic to horses,
426,"Leptinella squalida, formerly known as Cotula squalida","Brass buttons, buttonweed, golden buttons","Perennial, groundcover",Partial,Loamy,Acidic,Spring,Yellow,New Zealand,,Compositae
427,Spiraea prunifolia,Bridal wreath spirea,Deciduous shrub,Full,Well-draining,"Acidic, neutral",Spring,White,Asia,,Rosaceae
429,Brassica oleracea var. italica,Broccoli,"Biennial, annual, vegetable",Full sun,"Moist, loamy, well-drained","Acidic, neutral",,,"Mediterranean, Asia",,Brassicaceae
430,Bromeliaceae genera,Bromeliad,"Perennials; family includes both epiphyte (""air plant"") and terrestrial species","Bright, indirect light",Fast-draining potting soil,5.0 to 6.0 (acidic),Blooms once; timing varies,"Red, green, purple, orange, yellow",Tropical and subtropical Americas,,Bromeliaceae
432,Browallia speciosa,"Browallia, Amethyst flower, Bush violet, Sapphire flower",Perennial,"Full, partial","Sandy, clay, loamy","Neutral to acidic, acidic, alkaline","Summer, fall","Blue, purple, white",South America,Toxic to pets,Solanaceae
434,Rudbeckia triloba,"Brown-eyed susan, thin leaved coneflower","Biennial, short-lived perennials",,"Fertile, loam, tolerates clay and gravel",Slightly acidic,"Mid to late summer, often blooms until fall",Bright yellow,"Eastern US and Midwest, south to Texas",,
435,Brugmansia,"Brugmansia, trumpet of death, Angel's trumpet, Moonflower","Perennial, shrub",Full,"Moist, but well-drained",Acidic,Summer,"White, yellow, orange, pink",South America,"Toxic to people, toxic to pets",Solanaceae
438,Brassica oleracea var. gemmifera,Brussels sprouts,"Biennial, annual, vegetable",Full sun,"Loamy, well-drained",Neutral,Summer,,Mediterranean,,Brassicaceae
414,Ajuga reptans,"Bugleweed, common bugleweed, ajuga, carpet bugle, blue bugle, carpetweed, carpenter's herb",Herbaceous perennial,Full sun to partial shade,"Medium-moisture, well-drained",Slightly acidic 6.5,May to June,"Blue, violet","Europe, northern Africa, southwestern Asia",,Lamiaceae
439,Tillandsia bulbosa,Bulbous Air Plant,perennial herbaceous,"Bright, indirect light or part shade",None,None,Once per lifetime,Violet,"Mexico, Central and South America",,
441,Opuntia microdasys,"Bunny ear cactus, angel's wings cactus, polka dot cactus",Cactus,Full sun,"Sandy, well-draining","Acidic, neutral",Summer,"Yellow, white",Mexico,,
442,Quercus macrocarpa,"Bur oak, mossycup oak",Tree,Full,"Sandy, silt, clay, loamy","Acidic, neutral, alkaline",,,North America,,Fagaceae
336,Euonymus alatus,"Burning bush, winged spindle tree",Shrub,"Full, partial",Moist but well-drained,"Acidic, neutral, alkaline",Spring,Yellow,Asia,"Mildly toxic to humans, toxic to dogs, cats, and horses",Celastraceae
61,Ruscus,"Butcher's broom, horse tongue lily",Evergreen,Partial to full shade,"Well-drained, slightly acidic",5-Mar,Late winter to early spring,"White, purple or yellow","Africa, Asia, Europe, Eurasia",,Asparagaceae
445,Corylopsis pauciflora,"Buttercup winter hazel, winter hazel",Deciduous shrub,"Full, partial","Rich, medium-moisture, well-drained",Acidic (less than 6.0),Late winter to early spring,Pale yellow,"Eastern Asia (Japan, Taiwan)",,Hamamelidaceae
446,Buddleja davidii,Butterfly bush,"Shrub, perennial",Full,"Moist, well-drained soil","Acidic, neutral",Summer,"Purple, pink, blue, white, yellow",Asia,,Scrophulariaceae
450,Asclepias tuberosa,"Butterfly weed, butterfly milkweed, pleurisy root, orange milkweed",Herbaceous perennial,Full,,Slightly acid to neutral (6.0 to 7.0),Summer,"Orange, yellow",North America (eastern and southeastern U.S.),Mildly toxic to animals and humans,Asclepiadaceae
444,Lactuca sativa var. capitata,"Butterhead lettuce, butter lettuce, butter leaf, buttercrunch","Annual, vegetable","Full sun, partial sun","Loamy, moist, well-drained","Acidic, neutral",,,Mediterranean,,
452,Cephalanthus occidentalis,"Buttonbush, Common Buttonbush, Honeybells, Pond Dogwood, Swampwood","Perennial, Shrub","Full, Partial","Loamy, Silt, Moist",Neutral,Summer,White,North America,"Toxic to pets, toxic to people",Rubiaceae
453,Brassica oleracea,Cabbage,"Vegetable, biennial, annual",Full,"Loamy, well-drained","Acidic, neutral",,,Europe,,Brassicaceae
454,Cactaceae,Cactus,"Succulent, perennial",Full sun,"Well-drained, sandy","Neutral, acidic",Summer,"Orange, pink, red, yellow, white","North America, South America",,Cactaceae
455,Caladium,"Caladium, elephant ears",Tropical perennial,"Indirect light (indoors), full to partial shade (outdoors)","Rich, well-drained",Slightly acidic,"Spring, summer, fall","Green, pink, white, red","Central America, South America",Toxic to people and pets,Araceae
457,Calathea lietzei,Calathea 'White Fusion',Herbaceous Perennial,Partial,"Moist, Well-drained",Acidic,Summer,"Yellow, purple, white",Central Mexico to tropical South America,,Marantaceae
19,Calathea,"Calathea, prayer plant, zebra plant, rattlesnake plant, peacock plant","Herbaceous, perennial","Partial, shade","Loamy, moist, well-drained","Acidic, neutral","Spring, summer","Purple, yellow, white","Central America, South America",,Marantaceae
460,Calendula officinalis,"Calendula, pot marigold, common marigold","Perennial, annual","Full, partial",Well-drained,Neutral,"Spring, summer, fall","Yellow, orange, red, white, pink",Mediterranean,,Asteraceae
461,Calibrachoa group,"Calibrachoa, million bells, trailing petunia, mini petunia",Herbaceous perennial flower often grown as an annual,Full sun to part shade,"Moist, rich, well-drained",5.0–6.5 (acidic),Spring to fall,"Coral, yellow, orange, red, pink, blue, purple, burgundy, lavender, cream",South America,,Solanaceae
462,Washingtonia filifera,"California Fan Palm, Desert Fan Palm",Tree,"Full, Partial","Loamy, Sandy, Moist but well-drained","Acidic, Neutral, Alkaline",Summer,White,North America,,Arecaceae
463,Juniperus californica,California juniper,"Evergreen, tree, shrub",Full sun,"Sandy, loamy, clay, well-drained","Acid, neutral, alkaline",Spring,Blue berries with a white waxy sheen,"California, Southwestern North America",,
464,Ceanothus spp.,"California lilac, Mountain lilac, Wild lilac",Evergreen and deciduous shrubs,"Full Sun, Partial Shade",Well-drained,"Acid, Neutral, Alkaline",Depends on the cultivar,"Blue, Pink, White",North America,,Rhamnaceae
935,Zantedeschia aethiopica,"Calla lily, arum lily",Rhizome,"Full, partial",Moist but well-drained,Acidic,Summer,"White, pink, coral, maroon, orange, yellow","Africa (South Africa, Swaziland)","Toxic to humans, toxic to pets",Araceae
465,Prunus calleryana,Callery pear,Deciduous tree,Full sun,"Moist, well-drained, tolerant of most soils",Slightly acidic 6.0-7.0,Spring,White,"China, Vietnam",,
237,Coreopsis tinctoria,"Calliopsis, Tickseed",Annual,"Full, Partial","Sandy, Well-drained",Neutral,"Summer, Fall","Yellow, Yellow-Rust Bicolor","Canada, Mexico, United States",,Asteraceae
466,Calypso bulbosa,"Calypso orchid, fairy slipper, Venus' slipper",Perennial,"Partial, shade","Moist, well-drained",Acidic,"Spring, summer","Pink, purple, red, white","North America, Eurasia",,Orchidaceae
467,Camellia spp.,Camellia,Broadleaf evergreen shrub,Partial,"Rich, moist but well-drained",Acidic,"Late fall, winter, early spring","White, pink, red, yellow, or lavender","Asia (Japan, China, Korea)",,Theaceae
330,Aglaonema pictum tricolor,Camouflage plant,"Perennial, shrub",Partial,Moist but well-draining,Acidic,"Spring, summer","Green, white",Asia,Toxic to pets,Araceae
468,Ulmus glabra 'Camperdownii',Camperdown elm,Annual or perennial,Full to part sun,Moist and sandy,Alkaline,March and April,Red,Scotland,,
469,Cinnamomum camphora,Camphor tree,Evergreen,Full sun,"Moist, fertile, sandy soil",Slightly acidic to very basic,April,Inconspicuous,China and Japan,"Toxic to people, toxic to cats, toxic to dogs",
471,Silene,"Campion, Catchfly, Weed Silene, Fire Pink",Perennial (sometimes annual),"Full sun to part shade, depending on variety","Neutral to acidic, rich in humus",7-May,Spring and Summer,"Red, white, pink, sometimes blue",North American grasslands,,
472,Elymus canadensis,"Canada wild rye, Canadian wildrye, prairie wildrye, nodding wild rye",Perennial bunchgrass,Full sun,"Loamy, sandy, clay, well-drained","Acid, neutral, alkaline","Summer, early fall",Blue-green,North America,,
692,Tsuga canadensis,"Canadian hemlock, Eastern hemlock",Tree,"Full, partial",Moist,Acidic,,,North America,,Pinaceae
474,Cuphea micropetala,Candy corn plant,"Semi-woody shrub, often planted as an annual",Full sun to part shade,"Average, well-drained soil",5.5 to 6.5; slightly acidic to neutral,Summer to fall,Orange and yellow,Mexico,,
475,Iberis sempervirens,Candytuft,"Shrub, herbaceous, perennial","Full, partial",Well-drained,"Acidic, neutral, alkaline",Spring,"White, pink, lilac, red","Europe, Mediterranean",,Brassicaceae
477,Canna × generalis,"Canna lily, canna, arrowroot","Annual, perennial, rhizome",Full,Moist,"Acidic, neutral",Summer,"Yellow, orange, red, pink","Caribbean, East and West Africa, Central and South America",,Cannaceae
476,Canna spp.,"Canna, canna lily","Perennial, grown as an annual in colder zones",Full sun,"Rich, moist, well-draining",Acidic (6.0 to 6.5),Summer,"Red, orange, yellow, pink, cream, white; solid color or with contrasting spots","South America, Central America, West Indies, Mexico, southeastern United States",,Cannaceae
478,Cucumis. melo var. reticulatus,"Cantaloupe, muskmelon","Fruit, annual",Full sun,"Loamy, sandy, well-drained","Acidic, neutral",Summer,,"Asia, Africa",,Cucurbitaceae
479,Campanula medium,"Canterbury bells, cups and saucers","Annual, biennial","Full, partial","Moist but well-drained, loamy, sandy","Neutral, acidic, alkaline",Summer,"Pink, white, purple, blue",Europe,,Campanulaceae
480,Tecoma capensis,Cape honeysuckle,Flowering broadleaf evergreen shrub,"Full, partial",Well-drained,Acidic to alkaline (5.0–8.0),Fall to spring,"Yellow, red, orange, peach",Southern Africa,,Bignoniaceae
482,Capparis spinosa,Caper bush,Evergreen shrub,Full sun,"Dry, well-drained",Neutral to acidic,"Spring, summer, early fall",White,Europe,,
483,Elettaria cardamomum,"Cardamom, Cardamon, Cardamum, Green Cardamom, True Cardamom","Herbaceous, evergreen, rhizomatous perennial",Part to full shade,Loam,"5.1 - 5.5 (strongly acidic), 6.1 - 6.5 (mildly acidic)",April to May,White or yellowish,"Asia (India, Burma and Sri Lanka)",,
484,Zamia furfuracea,"Cardboard palm, cardboard plant, cardboard sago, cardboard cycad, Jamaican sago, Mexican cycad",Perennial,Full,"Sandy, well-drained",Acidic,None,None,Central America,Toxic to people and pets,Cycadaceae
