,Common Name,Botanical Name,Family,Plant Type,Mature Size,Sun Exposure,Soil Type,Soil pH,Bloom Time,Flower Color,Hardiness Zones,Native Area,Toxicity
109,"Smoke bush, royal purple smoke bush, smoke tree, European smoketree, Eurasian smoketree, Venice sumach, dyer's sumach",Cotinus coggygria,Anacardiaceae,Deciduous shrub,"10-15 ft. high, similar spread",Full sun,"Prefers well-drained, loamy soil",Tolerates both acidic and alkaline soils,Late spring to mid-summer,Yellow,4-9 (USDA),Southern Europe to central China,Mildly toxic to humans
110,"Smooth hydrangea, Wild hydrangea",Hydrangea arborescens,Hydrangeaceae,"Deciduous, Shrub",3 -10 ft. tall,Partial shade,Well-drained,"Acid, Neutral, Alkaline",Summer,White,"3-9, USA",Eastern USA,Toxic to people and pets
111,Smooth sumac,Rhus glabra,Anacardiaceae,Deciduous shrub,9-15 ft. tall,"Full sun, partial sun","Average, well-drained","Acidic, neutral, alkaline","Spring, summer","Yellow, green",3-9 (USDA),North America,
112,"Agave, century plant",Agave,Asparagaceae,"Perennial, succulent","1–20 ft. tall, 1–10 ft. wide (depends on variety)",Full,"Sandy, well-drained","Acidic, neutral",Varies — most plants only bloom once in their lifetime,"Green, white, yellow","5–11, USA","North America, Central America, South America","Toxic to people, toxic to pets"
113,"Beet, beetroot",Beta vulgaris,Amaranthaceae,"Annual, vegetable","12–18 in. tall, 18–24 in. wide","Full sun, part sun","Loamy, moist, well-drained","Acidic, neutral (6.0–7.0)",Seasonal,,2–11 (USDA),Europe,
114,Snail vine,Cochliasanthus caracalla,Fabaceae,"Perennial, vine",15-20 ft. long,"Full, partial","Well drained, fertile","Acidic, neutral","Summer, fall","White, pink, purple",9-11 (USDA),Central and South America,
115,"Snake plant, viper's bowstring hemp, St. George's sword",Dracaena trifasciata (formerly Sansevieria trifasciata),Asparagaceae,"Evergreen, perennial",Six inches to 8 feet tall,Shade to partial sun,"Sandy, well-drained",Slightly acidic to slightly alkaline,Spring (blooms are rare),White,9–11 (USDA),West Africa (tropical),Toxic to cats and dogs
116,"Bugbane, white cohosh, snakeberry, doll's-eyes",Actaea,Ranunculaceae,"Herbaceous, perennial",2-4 ft. tall (7 ft. tall with flowers),"Partial, shade",Well-drained,Neutral,"Summer, fall","White, lavender",4a-8a,North America,
117,"Snapdragon, dog's mouth, lion's mouth, toad's mouth",Antirrhinum majus,Plantaginaceae,"Perennial, annual","6–48 in. tall, 6–12 in. wide","Full, partial","Moist, well-draining","Acidic, neutral","Spring, summer, fall","White, yellow, pink, red, orange, purple",7–11 (USDA),"Mediterranean, Europe, Asia",
118,"Snapdragon vine, creeping snapdragon, trailing snapdragon, vining snapdragon, creeping gloxinia, chickabiddy",Maurandya scandens or Asrina scandens,Plantaginaceae,Vine,"6–9 ft. long, 3–6 ft. wide","Full sun, partial shade","Rich, well-drained loam",Neutral to acidic,"Spring, summer","Pink, blue, lavender, violet, white","9–10, USDA",Mexico and Central America,
119,"Sneezeweed, Helen's Flower",Helenium autumnale,Asteraceae,Perennial flower,2–5 feet tall,Full sun,"Moist, well-draining",5.5 to 7.0,"Late summer, Fall","Yellow, gold, orange, coppery brown, red",3–8 (USDA),North America and southern Canada,
120,Snow banana,Ensete glaucum,Musaceae,Perennial,Up to 15 ft. tall,"Full, partial",Well-drained,"Acidic, neutral, alkaline",Summer,"Green, white",9b-11,Asia,
121,Snow queen pothos,Epipremnum aureum 'Snow Queen',Araceae,Vine,6-10 ft. long (indoors),Partial,Moist but well-draining,Acidic,"Spring, summer","Green, white","10-11, US",Asia,
122,"Snow-in-summer, silver carpet, mouse ear, chickweed",Cerastium tomentosum,Caryophyllaceae,"Herbaceous, perennial","6-2 in. tall, 9-12 in. wide",Full,"Loamy, sandy, well-drained","Acidic, neutral",June,White,3-8 (USDA),Europe,
123,"Snowball bush viburnum, fragrant snowball, European cranberrybush",Viburnum x carlcephalum,Adoxaceae,Deciduous shrub,"6–12 ft. tall, 6–10 ft. wide","Full sun, partial shade","Average, well-drained",Moderately acidic to slightly alkaline (5.5 to 8.0),Spring,"White, light pink",6–8 (USDA),Nursery hybrid,
124,"Bells of Ireland, shell flower",Moluccella laevis,Lamiaceae,Annual,"2–3 ft. tall, 12-18 in. wide","Full, partial","Moist, well-drained",Neutral,"Summer, fall",White,Annual,Asia,
125,"Snowdrops, common snowdrop. The more poetic ""fair maids of February"" and ""Candlemas bells"" both refer to the plant's emergence in February in some zones.",Galanthus nivalis,Amaryllidaceae (Amaryllis),Perennial bulb (hardy in the North),3 to 6 inches tall,Full sun to partial shade,"Loamy, sandy, humusy, well-drained","Acidic, neutral, alkaline",Early spring,White,"3 to 7, USA",Western Asia and Eastern Europe,"Toxic to people, pets"
126,"Soapwort, common soapwort, bouncing-bet",Saponaria officinalis,,Herbaceous perennial,"1–3 ft. tall, 1–2 ft. wide","Full sun, partial shade","Dry to medium moisture, well-drained",Neutral to acidic,"Summer, early fall","Pink, white",3–9 (USDA),"Europe, Asia","Toxic to humans, dogs, and cats"
127,"Society Garlic, pink agapanthus",Tulbaghia violacea,,Tuberous blooming perennial,1 to 2 ft. tall,Full sun,Well-drained loam or light sandy soil,Neutral (6.8 to 7.5),Early summer to autumn,"Lilac, lavender, pink","7-10, USDA",Eastern South Africa,
128,Solomon's seal,Polygonatum spp.,Asparagaceae,"Herbaceous, perennial","6 in.–7 ft. tall, 1–4 ft. wide","Partial, shade","Moist, well-draining","Acidic, neutral",Spring,"White, green, pink",3–9 (USDA),North America,"Toxic to people., toxic to pets"
129,Song of India,Dracaena reflexa,Asparagaceae,"Perennial, shrub","3-20 ft. tall, 3 ft. wide",Partial,Moist but well-drained,Neutral,Winter,White,10-12 (USDA),Africa,Toxic to dogs and cats
130,"Sorrel, garden sorrel, French sorrel, sorrel dock, sour dock, sour leek, spinach dock","Rumex acestosa (Garden sorrel), Rumex scutatus (French sorrel)",Polygonaceae,Herbaceous perennial,"12-18 in. tall, 18-24 in. wide",Full sun,"Rich, well-drained",Acidic (5.5 to 6.8),Summer,"Green, turning to red",5-7 (USDA),"Europe, Asia",Toxic to dogs and cats
131,"Desert spoon, sotol, common sotol, spoon yucca, spoon flower, blue sotol",Dasylirion wheeleri,Asparagaceae,"Perennial, evergreen, shrub","4–6 ft. tall, 3–4 ft. wide",Full,"Sandy, well-drained","Neutral, acidic","Spring, summer","Yellow, purplish-pink","8–11, USA",North America,
132,Sourwood,Oxydendrum arboreum,Ericaceae,Deciduous tree,"20-25 ft. tall, 10-25 ft. wide","Full sun, part shade, shade","Moist, organically rich, well-drained",Acidic,June-July,White,USDA 5-9,Eastern and southern United States,
133,"Southern Magnolia, Bull Bay, Big Laurel",Magnolia grandiflora,Magnoliaceae,"Perennial, Tree","60-80 ft. tall, 20 - 40 ft. wide","Full sun, Partial Shade","Moist, Well-drained","Acid, Neutral, Alkaline","Spring, Summer","White, Cream","6-10, USA",Southeastern United States,
134,"Spanish bluebell, wood hyacinth",Hyacinthoides hispanica,Asparagaceae,"Bulb, perennial","6-18 in. tall, 6-18 in. wide","Full, partial","Moist, well-drained","Neutral, acidic, alkaline",Spring,"Blue, purple, white, pink",3-8 (USDA),Europe,"Toxic to humans, toxic to pets"
135,"Bee balm, monarda, wild bergamot",Monarda spp.,Lamiaceae,"Herbaceous, perennial","10–48 in. tall, 10–36 in. wide","Full, partial","Rich, moist","Acidic, neutral",Summer,"Red, purple, pink, white, lavender",3–9 (USDA),North America,
136,"Spanish lavender, butterfly lavender, bract lavender",Lavendula stoechas,Lamiaceae,"Perennial, shrub, herb","18-36 in. tall, 18-36 in. wide",Full,"Sandy, moist but well-drained","Acidic, neutral","Spring, summer","Pink, purple, white",8a-9b (USDA),"Europe, Africa, Mediterranean",Toxic to pets
137,Mentha spicata,Spearmint,,Herbaceous Perennial,18-36 inches,Full Sun- Part Shade,"Well-draining, rich, moist soil",Neutral,Summer,Lavender,"Zones 4 - 10, USA",Europe and Asia,
138,"Spicebush, northern spicebush, Benjaminbush",Lindera benzoin,Lauraceae,Shrub,6-12 ft. tall,"Full, Partial","Moist, Well-drained",Neutral to Acidic,Spring,Yellow,4-9 (USDA),,
139,"Cleomes, spider flower, Rocky Mountain bee plant, stinking clover",Cleome,Cleomaceae,Annual,1.5 to 5 feet tall and 1 to 2 feet wide,"Full sun, part sun","Average, well-drained",Acidic to neutral,Summer,"White, pink, lavender, rose","10, 11",South America,
140,"Spider lily, hurricane lily, cluster amaryllis, naked lily, surprise lily",Lycoris spp.,Amaryllidaceae,"Perennial, bulb","1–2 ft. tall, 1–1.5 ft. wide","Full, partial",Well-drained,"Acidic, neutral, alkaline","Summer, fall","Red, orange, pink, white, yellow",6–10 (USDA),Asia,"Toxic to people, toxic to pets"
141,"Spider mum, Fuji mum, autumn mum, florist's chrysanthemum, garden hardy chrysanthemum, garden mum",Chrysanthemum x morifolium (or C. morifolium),Asteraceae,"Herbaceous, perennial, annual","1–3 ft. tall, 1–2 ft. wide","Full, partial",Well-drained,Acidic,"Summer, fall","Yellow, pink, red, white, purple, bronze, rust",5–9 (USDA),Asia,
142,"Spiderwort, inch plant",Tradescantia,Commelinaceae,Herbaceous perennial,N/A (vining species),"Full sun, partial shade",Moist but well-drained,Neutral to acidic,Year-round,"White, purple, pink",4b to 12a,"Mexico, South America, Caribbean",Some types mildly toxic to humans and animals
143,"Veronica, spiked speedwell, speedwell",Veronica spicata,Plantaginaceae,Herbaceous perennial,"6 in. to 3 ft. tall, 6 in. to 2 ft. wide (depending on variety)",Full sun,Well-drained,Neutral,Summer,"Purplish-blue, pink, white",3 to 8,"Europe, Asia",
144,Spinacia oleracea,Spinach,Amaranthaceae,"Annual, vegetable",6–12 in. tall and wide,"Full sun, partial sun","Loamy, moist, well-drained","Acidic, neutral, alkaline (6.5 to 8)",Summer,,2–11 (USDA),"North America, Central America, South America, Asia",
145,"Spineless yucca, stick yucca, giant yucca",Yucca elephantipes,,Evergreen,"15 to 30 ft. tall outdoors, and 5 ft. tall indoors",Full sun,"Sandy, well-draining","Acidic, neutral, or alkaline",Spring and summer,White,USDA Zones 9 to 11,Mexico,"Toxic to cats, dogs, and horses"
146,"Pig squeak, heartleaf bergenia, elephant's ears",Bergenia cordifolia,Saxifragaceae,Hardy perennial,"1-2 ft. tall, 1-2 ft. wide","Partial, Shade","Moist, loamy, clay","Acidic, Neutral","April, May","Pink, red, white",4-8 (USDA),"Europe, Asia",
147,Spiral aloe,Aloe polyphylla,,Succulent,"12 in. tall, 24 in. wide","Full, partial","Sandy, well-drained",Acidic,"Spring, summer","Pink, orange","7a, 7b, 8a, 8b, 9a, 9b",Africa,"Toxic to dogs, toxic to cats"
148,"Red button ginger, Indian head ginger, scarlet spiral flag. red cane",Costus woodsonii,Costaceae,"Perennial, herbaceous, rhizome","3–6 ft. tall, 2–3 ft. wide",Partial sun to partial shade,Moist but well-drained,Neutral to acidic,Summer,Yellow-orange,9–11 (USDA),Central America,
149,Spiraea,Spiraea spp.,Rosaceae,"Perennial, shrub",1-20 ft. tall (depending on species),Full,"Loamy, well-draining",Neutral,"Spring, summer",Varies (depending on species),"4, 5, 6, 7, 8","North America, Europe",
150,"Split-leaf philodendron, Swiss cheese plant, windowleaf, ceriman",Monstera deliciosa,Araceae,Climbing evergreen,"3 ft. tall, 2-3 ft. spread","Bright indirect sunlight, partial shade","Peat-based potting soil, well-drained",Acid or neutral,Mid-summer,Cream/tan,10-12 (USDA),Central America,Toxic to cats and dogs
151,"Spotted bee balm, dotted bee balm, horsemint, spotted horsemint",Monarda punctata,Lamiaceae,"Herbaceous, perennial","18 in.-3 ft. tall, 12-18 in. wide",Full,"Loamy, sandy, silt, well-drained",Neutral,Summer,"Pink, yellow, purple",3-8 (USDA),North America,
152,"Spotted dead nettle, spotted henbit",Lamium maculatum,Lamiaceae,"Herbaceous, perennial","6-9 in. tall, 12-24 in. wide","Shade, partial","Well-drained, loamy",Acidic,"Spring, summer","Pink, purple, white",4-8 (USDA),"Europe, Africa, Asia",
153,"Spurge weed, spotted spurge",Euphorbia maculata,,Perennial,"Up to 4 inches, usually prostrate",153,"Any, dry, sandy, compacted",,Summer,Pink or pale green,USDA 5-9,Eastern North America,
154,Squirrel corn,Dicentra canadensis,Papaveraceae,Herbaceous perennial,6–12 in. tall and wide,Partial to full shade,"Rich, moist but well-drained",Acidic to neutral (5.5 to 6.5),Spring,Pinkish-white,3–7 (USDA),"Eastern, central North America","Toxic to humans, animals"
155,"Squirting cucumber, exploding cucumber",Ecballium elaterium,Cucurbitaceae,"Perennial, vine","12–18 in. tall, 1–3 ft. wide",Full,"Moist, well-drained soil","Acidic, neutral, alkaline",Summer,Yellow,9-11 (USDA),"Europe, Mediterranean","Toxic to humans, toxic to pets"
156,"St. Augustine grass, buffalo grass, carpet grass, couchgrass, quickgrass, wiregrass, mission grass, pimento grass, Charleston grass",Stenotaphrum secundatum,Poaceae,"Herbaceous, perennial grass",6 to 12 in. tall,Full sun to partial shade,Well-drained,6 to 7.5,,,"7 to 12, USDA","The Caribbean, South America, southeastern U.S. in the New World; Africa and Asia in the Old World",
157,Better Boy tomato,Solanum lycopersicum ‘Better Boy’,,Annual vegetable,"5-8 ft. tall, 2-3 ft. wide",Full; 6 to 8 or more hours per day,"Loamy, moist but well-drained","6.5 to 6.8, slightly acidic","Summer, Fall",Yellow,"3-11, USA",North America,Toxic to pets
158,"Common St. John's wort, Klamath weed, goatweed, tipton weed, devil's scourge, rosin weed, god's wonder plant, perforate St. John's wort",Hypericum perforatum,,Herbaceous plant with a perennial life cycle,1 to 3 feet tall and not quite as wide; upright growing habit,Full sun to partial shade,"Rich, well-drained, with average moisture content","Acidic, neutral, or alkaline",June through September,Yellow,3 to 8,"Europe, Asia, and North Africa; has naturalized in North America",
159,"Staghorn fern, elkhorn fern",Platycerium bifurcatum,Polypodiaceae,Fern,"2–3 ft. tall, 2–3 ft. wide",Partial,Epiphytic,,Non-flowering,Non-flowering,9–12 (USDA),"Asia, Australia",
160,Star cactus,Astrophytum spp.,Cactaceae,"Cactus, perennial, succulent","2-72 in. tall, 2-12 in. wide",Full,"Sandy, well-drained",Acidic,"Summer, fall","Yellow, orange, red",9-11 (USDA),North America,
161,Starfruit,Averrhoa carambola,,Fruit tree,Up to 30 feet (dwarf trees reach 3 feet),Full sun,"Loam, moist, good drainage",Slightly acidic,Summer,Pale purple,9 to 11 (USDA),Southeast Asia,"Toxic to dogs, toxic to cats"
162,"Stargazer lily, stargazer",Lilium orientalis 'Stargazer',Liliaceae,Perennial bulb,"4 ft. tall, 1 ft. wide",Full sun,"Loamy, moist, well-draining","Neutral, acidic",Summer,"Pink, white",4–9 (USDA),"Hybrid plant, no native range",Toxic to cats
163,Stella d'Oro daylily,Hemerocallis 'Stella d'Oro',Hemerocallidaceae,Herbaceous perennial,"9-12 inches tall, 10-12 inches wide",Full sun,"Moist, well-drained","Acidic, neutral, alkaline","Spring, summer",Golden yellow,3-10 (USDA),"Cultivar, no native range",
164,Stewartstonian azalea,Rhododendron 'Stewartstonian' (Gable hybrids),,Broadleaf evergreen shrub,"4 to 5 feet tall, similar spread",Full sun to part shade,"Fertile, evenly moist, well-drained soil",5.0 to 5.5 (acidic),April or May,Orange-red,5 to 8 (USDA),Hybrid plant; original parents are probably species from Korea and Japan,
165,"Stinging nettle, common nettle, burning grass",Urtica dioic,Urticaceae,Herbaceous perennial,"3–7 ft. tall, 1–3 ft. wide","Full, partial","Rich, moist",Acidic to alkaline (5.0 to 8.0),Summer,Greenish white,4 through 10 (USDA),"Europe and Asia, but now naturalized everywhere","Mildly toxic to humans, pets"
166,"Strawberry, garden strawberry",Fragaria x ananassa,,Fruiting perennial,"4 to 12 inches tall, 6 to 24 inches wide",Full sun,"Loamy, rich, well-drained soil",Acidic (5.8 to 6.2),"Late spring, early summer",White,4 to 9 (USDA),Europe,
167,"Strawberry begonia, creeping saxifrage, strawberry geranium",Saxifraga stolonifera,,Herbaceous perennial,"6–18 in. tall, 12–24 in. wide","Full sun, partial shade",Moist but well-drained,Neutral to acidic,"Late spring, early summer",White,6–9 (USDA),Asia,
168,Bidens,Bidens,Asteraceae,"Annual, perennial","6-12 in. tall, 1-3 ft. wide",Full,Well-drained,Slightly acidic to neutral,Summer,"Yellow, Gold, White, Pink, Orange","8, 9, 10, 11","North America, South America, Africa, Europe, Asia",
169,Hydrangea paniculata 'Renhy' (brand name is Strawberry Vanilla),,Hydrangeaceae,Deciduous shrub,"6-7 ft. tall, 4-5 ft. wide",Full,Well-drained,Neutral to acidic,"Summer, fall","White, pink",3–8 (USDA),"Cultivar, no native range; parent species is native to Asia",
170,"Strawflower, golden everlasting",Xerochrysum bracteatum,Asteraceae,"Herbaceous, perennial, annual","2-3 ft. tall, 6-18 in. wide","Full, partial",Well-drained,"Neutral, acidic","Spring, summer, fall","Yellow, orange, red, white, pink",8-11 (USDA),Australia,
171,"Common bean, green bean, French bean, snap bean, string bean",Phaseolus vulgaris,Fabaceae,"Annual, vegetable","2–15 ft. tall, 2–3 ft. wide",Full sun,"Loamy, moist, well-drained",Acidic,,,2–11 (USDA),"South America, Central America","Toxic to people, toxic to pets"
172,String of bananas,Senecio radicans syn. Curio radicans,,Succulent,36 inches long,Full sun,"Well-draining, succulent soil",6.6-7.5,Spring,"White, light pink",,South Africa,Toxic to humans and pets
173,String of buttons,Crassula perforata,Crassulaceae,"Succulent, perennial","1-2 ft. tall, 2-3 ft. wide","Full, partial","Well-drained, loamy, sandy","Acidic, neutral, alkaline",Spring,"Yellow, white",9-12 (USDA),South Africa,"Toxic to people, toxic to pets"
174,"String of dolphins, dolphin plant, flying dolphins, the dolphin necklace",Senecio peregrinus,,Succulent,6 inches tall,Full to partial sun,"Well-draining, cactus/succulent soil",6.6-7.5,Spring,White,9b to 11b,Southwest Africa,Toxic to dogs and cats
175,"String of hearts, Rosary vine, Chain of hearts, Chinese lantern",Ceropegia woodii,,"Succulent, Vine, Evergreen","2-5 cm. tall, 2 - 4 m. wide spread",Partial Sun,"Well-drained, Fertile","Acidic, Neutral","Summer, Fall",White to a pale purplish-red,"9 - 12, USA",Southern Africa,
176,"String of nickels, button orchid",Dischidia nummularia,,Succulent,"12-18 in. long, 15-24 in. spread","Partial sun, partial shade",Well-drained,"Neutral, alkaline","Spring, summer","Yellow, white",10a to 11b,"India, Asia, Australia",
