commonName,botanicalName,family,plantType,size,sunExposure,soilType,soilPH,hardinessZones,nativeArea,image,site,matureSize,bloomTime,flowerColor,toxicity
Camphor tree,Cinnamomum camphora,,Evergreen,,Full sun,"Moist, fertile, sandy soil",Slightly acidic to very basic,USDA 9-11,China and Japan,https://www.thespruce.com/thmb/wvdTcVZcpOZY-0rw1YC6RdxFMSI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/camphor-tree-guide-5120681-hero-041da4d0b1044ef0a47ac7977f2e56ab.jpg,Camphor Cinnamomum camphora.json,"50-65 ft. tall, 50-60 ft. wide",April,Inconspicuous,"Toxic to people, toxic to cats, toxic to dogs"
Pumpkin,Curbita spp.,Cucurbitaceae,"Annual, fruit","9-18 in. tall, 20-30 ft. long, 10-15 ft. spread",Full sun,"Moist, loamy",Acidic,3-9 (USDA),North America,https://www.thespruce.com/thmb/fneGs9NEDFOH8KxkOOJRiG1lfks=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/GettyImages-173580382-040b8f1839ab434a856fed95d0447fba.jpg,Pumpkin Curbita.json,"9-18 in. tall, 20-30 ft. long, 10-15 ft. spread",Summer,,
"Alligator juniper, checkerbark juniper, western juniper",Juniperus deppeana,Cupressaceae,Evergreen tree,,Full sun,"Dry, well-draining",Slightly acidic,7-9 (USDA),"Mexico, southern United States",https://www.thespruce.com/thmb/6WedLdbC5WVdaZACeIJTFRDf8sk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/GettyImages-6235390861-9ab5076f62e64f16a4715bff75717bae.jpg,Alligator Juniper Juniperus deppeana.json,50-60 ft. tall,,,
Petunia,Petunia spp.,Solanaceae,"Annual, perennial",,Full,"Well-drained, moist",Acidic,10–11 (USDA),South America,https://www.thespruce.com/thmb/JfCG7zygCtF7zxYDPU87Y4b_jdo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/grow-philodendron-houseplants-1902768-04-8bee1496f67e41c392304329eaea505e.jpg,Petunia Petunia.json,"6–24 in. tall, 6-36 in. wide","Spring, summer, fall","Pink, purple, yellow, red, orange, green, white",
"Sedum, stonecrop, showy stonecrop, border stonecrop",Sedum spp.,Crassulaceae,Perennial,,"Full, partial","Sandy, loamy, well-drained","Acidic, neutral",3–10 (USDA),"North America, South America, Central America, Europe, Asia, Africa, Mediterranean",https://www.thespruce.com/thmb/0dgf0ke9Ujm_Gb1M0ZYPXJT_c7M=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-silk-floss-trees-5094173-hero-d63eae0d538e4664a6d3bbca1a593038.jpg,Showy Stonecrop Sedum.json,"6–24 in. tall, 12–24 in. wide","Summer, fall","Red, pink, yellow, white",
"Satin pothos, silver pothos, silver splash pothos, silver philodendron, silver vine",Scindapsus pictus 'Exotica',Araceae,Vine,,Partial,Moist but well-drained,Acidic,"10-12, USA",Asia,https://www.thespruce.com/thmb/fEw7MRTtHctgiA5rWSkvnYIn0oU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/grow-sea-holly-eryngium-4121081-09-3c80e0fab1bf49b58047d708f51a1a6a.jpg,Scindapsus Pictus ‘Exotica’ Scindapsus Pictus ‘Exotica’.json,10 ft. long,"Spring, summer","Green, white",Toxic to pets
"Lupine, bluebonnet",Lupinus x hybrida,Fabaceae,"Herbaceous, perennial, annual",,Full,"Rich, moist, well-drained","Acidic, neutral",4–8 (USDA),Parent species mostly native to North America,https://www.thespruce.com/thmb/J3-PbrwZErvhAcGvgTXIQZv5VwA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/macho-fern-growing-guide-5194295-hero-0b85a74779c949fd92a0eff94da88b94.jpg,Lupine Lupinus x hybrida.json,"3–4 ft. tall, 1–1.5 ft. wide","Spring, summer","White, pink, red, yellow, blue, purple, bicolor",Toxic to humans and animals
'Red Charm' peony,Paeonia lactiflora x Paeonia officinalis 'Red Charm' (or simply Paeonia 'Red Charm'),Paeoniaceae,Herbaceous perennial,,"Full, partial","Moist but well-drained, loamy",Slightly acidic to neutral,3–8 (USDA),"Nursery hybrid; parent species native to Europe, Asia",https://www.thespruce.com/thmb/P1Y_ObExPaqmkw_7cxdE9vsG6Xg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/red-hot-poker-plants-2131856_09-61a1f183bf7949c881bea8dff94ff30d.jpg,Red Charm Peony Paeonia 'red charm'.json,"3 ft. tall, 3 ft. wide","Late spring, early summer","Red, dark red","Mildly toxic to humans, pets"
English Walnut,Juglans regia,Juglandaceae,Deciduous Tree,,Full Sun,"moist, organically rich, well-drained",6.0-6.5,USDA 3-7,Europe to Central Asia,https://www.thespruce.com/thmb/EN9R8wXMRj_8Cmf75Tpm5e3qcEs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/GettyImages-529951557-5dbeef8522bd49469c2dcb0ca6e270f0.jpg,English Walnut Juglans regia.json,"40-60 ft. tall, 40-60 ft. wide",May to June,Yellow-Green,
Winter aconite,Eranthis hyemalis,Ranunculaceae,Perennial,,"Full sun, partial sun",Well-drained,Alkaline,3-7 (USDA),Europe,https://www.thespruce.com/thmb/GVpg8gEHOJZIYBfBP_ywXT763LU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/how-to-grow-wintesweet-5091598-hero-e0ce200239fd4154b8c523a7de27d680.jpg,Winter Aconite Eranthis hyemalis.json,6 in. tall,Spring,Yellow,Toxic to humans and animals
"Ornamental pepper, Christmas pepper plant",Capsicum annuum cultivars,Solanaceae,"Perennial vegetable, usually grown as an annual",6 in. to 3 ft. tall,Full sun,Rich loam,Slightly acidic (6.0 to 6.8),9-11 (USDA); generally grown as an annual,"Central America, South America",https://www.thespruce.com/thmb/TI5IQlZYQeARrtpslAsHW_HqrWA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-ostrich-ferns-5094167-01-21a3aac393f84ca792e1422fdb379dba.jpg,Ornamental Pepper Capsicum annuum cultivars.json,6 in. to 3 ft. tall,Summer,,Leaves are toxic to people and pets
"Peperomia Hope, Acorn Peperomia, Four-leaved Peperomia",Peperomia tetraphylla,Piperaceae,Perennial,,Partial,Moist but well-drained,Acidic,"10-12, US","Central America, South America",https://www.thespruce.com/thmb/m6vm2JoEoB1fuWPfTQk59wi-sjY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/peppermint-profile-5186867-hero-38e394258f30496e8effa651bd7b2b9a.jpg,Peperomia Hope Peperomia tetraphylla.json,"8 in. wide, 12 in. tall","Spring, summer","Green, brown",
"Aubrieta, false rock cress",Aubrieta spp.,Brassicaceae,"Perennial, herbaceous",,"Full, partial",Well-drained,"Acidic, alkaline",4-9 (USDA),Europe,https://www.thespruce.com/thmb/ldrq2lk6FLnbtm80FwuJUkEdy4M=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-astible-plants-1402833-01-e4834dcbcd884f638ba7c7ae04570336.jpg,Aubrieta Aubrieta.json,"4-6 in. tall, 12-24 in. spread",Spring,"Pink, purple, white",
"Feather reed grass, reed grass",Calamagrostis x acutiflora,Poaceae,Perennial,,Full,"Rich, moist","Acidic, neutral, alkaline",4a-11a USDA,"Europe, Asia",https://www.thespruce.com/thmb/5mz0gJoXnd8eM6CpmHP3QJ8tRJg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/how-to-grow-ficus-audrey-1-be421bd0a7af44fbb102e30baa75806f.jpg,Feather Reed Grass Calamagrostis x acutiflora.json,"3–5 ft. tall, 1.5–2.5 ft. wide","Summer, fall",Pinkish-purple,
"Japanese forest grass, hakone grass",Hakonechloa macra,Poaceae,Perennial,,Partial,Moist but well-drained,"Acidic, neutral",4–9 (USDA),Asia,https://www.thespruce.com/thmb/Sy3EY3WmBEhWoXd6M1Fg6WDYwl8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/japanese-honeysuckle-vines-2132890-hero-21d00e12681e458ebc61036d41594c8f.jpg,Japanese Forest Grass Hakonechloa macraaureola.json,"12–18 in. tall, 12-24 in. wide",Summer,"Yellow, green",
"Purple waffle plant, red ivy",Hemigraphis alternata,,"Tender perennial, annual",,"Full, partial",Moist,Slightly acidic to neutral (6.1—6.9),10 to 11 (USDA),Asia,https://www.thespruce.com/thmb/uv3zQFN_VohDON_s_IiLlE77-2I=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/painted-daisy-plant-profile-5088038-04-3e6c7afcc1514ebf8d8fff61b9b6bb12.JPG,Purple Waffle Plant Hemigraphis alternata.json,"6 in. tall, 8 in. wide",Summer,White (flowers are insignificant),
Blackjack oak,Quercus marilandica,Fagaceae,Deciduous tree,,Full sun,Dry to medium well-drained soil,Acidic to neutral soil,6 to 9 (USDA),Central and southeastern United States,https://www.thespruce.com/thmb/YX2uVQpmn_XBQz--OD3wIMBziPA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/GettyImages-1142193339-ec62e3bd03e94e46b561a4928b3bfb1e.jpg,Blackjack Oak Quercus marilandica.json,"20 - 40 ft. tall, 20 - 40 ft. wide",May,,
"English ivy, common ivy, European ivy",Hedera helix,Araliaceae,"Perennial, evergreen climbing vine",,Part shade to full shade,Fertile and moist,Neutral to slightly alkaline,4-13 (USDA),"Europe, Scandinavia, Russia",https://www.thespruce.com/thmb/qyJrTGYW14R1vQ1DYwomr6y8qiM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/english-ivy-plants-2132215-hero-03-0a8ee662826b418d86a5b6e08ee7a207.jpg,Common Ivy Hedera helix.json,N/A; climbs and spreads as much as possible,Fall,"Greenish-white, greenish-yellow",Toxic to people and pets
"Buttercup winter hazel, winter hazel",Corylopsis pauciflora,Hamamelidaceae,Deciduous shrub,,"Full, partial","Rich, medium-moisture, well-drained",Acidic (less than 6.0),6–8 (USDA),"Eastern Asia (Japan, Taiwan)",https://www.thespruce.com/thmb/2TzLxFsldo862pF294fZktFNAvY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-winter-hazel-5083013-hero-6c7195556ba543ad880b3462fbf380cb.JPG,Buttercup Winter Hazel Corylopsis pauciflora.json,4–6 ft. tall and wide,Late winter to early spring,Pale yellow,
"Parlor palm, Neanthe bella palm",Chamaedorea elegans,Arecaceae,Palm,,"Bright, indirect light","Outdoors, any well-drained soil; indoors, use a peaty soil-based potting mix",Acidic to neutral,10-12 (USDA),Rainforests of southern Mexico and Guatemala,https://www.thespruce.com/thmb/261KFAVfZhZR7Np6x0MqncBS8Tg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-parrys-agave-agave-parryi-5100831_hero-089d92057ae344889fa155b5c4cddee3.jpg,Parlor Palm Chamaedorea elegans.json,"In natural habitat, 6-16 ft. tall; as a houseplant, 2-6 ft. tall, 2-3-ft. spread",Spring; rarely blooms indoors,Yellow,
"Lacebark Elm, Chinese Elm",Ulmus parvifolia,,Tree,,Full Sun,"Average, Good Drainage",Prefers Neutral Soil,USDA 4-9,East Asia,https://www.thespruce.com/thmb/rRHc8MUkthS-nHwmyd9dW8FnxZA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-lacebark-elm-5113712-hero-877a28ff32e34b5992fd8db2ad7760ee.jpg,Chinese Elm Ulmus parvifolia.json,40-50 ft. tall 25-30ft. wide,Late Summer,Reddish-Green,
Leek,Allium ampeloprasum,Amaryllidaceae,"Vegetable, perennial, annual","1–3 ft. tall, 6–12 in. wide",Full sun,"Loamy, well-drained","Neutral, acidic",5–9 (USDA),"Europe, Africa",https://www.thespruce.com/thmb/haU8sjIzqa37K_yrcKHCjG22EWw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/lemon-button-ferns-care-guide-5199417-1-809a08b4899d4be5a78bf8f5ab507b13.jpg,Leek Allium porrum.json,"1–3 ft. tall, 6–12 in. wide",Spring,,Toxic to pets
"Tulip tree, tulip poplar, yellow poplar",Liriodendron tulipifera,Magnoliaceae,Tree,,Full,"Moist, well-drained","Acidic, neutral, alkaline",4–9 (USDA),North America,https://www.thespruce.com/thmb/MmcnE116JMBA6_Rr0kMORVMecL0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/zoysia-grass-plant-profile-4691117-hero-2c01933247654f5b8c694a49eb6fa7bc.jpg,Tulip Tree Liriodendron tulipifera.json,"70–130 ft. tall, 30–60 ft. wide",Spring,"Yellow, green, orange",
Asparagus,Asparagus officinalis,Asparagaceae,"Perennial, vegetable",,Full sun,"Sandy, loamy","Neutral, acidic",3-10 (USDA),"Europe, Africa",https://www.thespruce.com/thmb/pSwX4Fx-Qih8iXCPtBMUg6i4iwA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/1-09acc26bf4284971a3e17d2ab4dcfb23.jpg,Asparagus Asparagus officinalis.json,"4 ft. tall, 2 ft. wide","Summer, fall","Yellow, green",Berries toxic to humans
"Weeping fig, ficus tree, Benjamin fig",Ficus benjamina,Moraceae,Evergreen tree usually grown as a houseplant,,"Filtered, bright sun","Rich, fast-draining potting soil","Acidic, neutral to acidic",Grows outdoors in zones 10-11 (USDA),"Asia, Australia",https://www.thespruce.com/thmb/OSFTYcHop4HqJ9Qn42I4_mXPefo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/weeping-white-pine-profile-5074330-hero-8f6b785bc5714906b4441e279e52107e.JPG,Weeping Fig Ficus benjamina.json,3-6 ft. tall indoors; up to 60 ft. tall outdoors,Rarely blooms indoors,nan,Toxic to humans and animals
"Alocasia Black Velvet, Black Velvet Elephant Ear",Alocasia reginula A.Hay,Araceae,"Herbaceous, Perennial",,Partial,Well-drained,"Acid, Neutral",10+ (USDA),Southeast Asia,https://www.thespruce.com/thmb/eRpMt6fh4nlYrjTpnqRzz107w14=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/how-to-grow-and-care-for-alocasia-black-velvet-5235406-hero-efc587d7280e4bdca477c81d56626cee.JPG,Alocasia Black Velvet Alocasia Reginula 'Black Velvet'.json,Up to 1.5 ft. tall,Very occasional,White,"Toxic to people, toxic to pets"
Callery pear,Prunus calleryana,,Deciduous tree,,Full sun,"Moist, well-drained, tolerant of most soils",Slightly acidic 6.0-7.0,4 to 9,"China, Vietnam",https://www.thespruce.com/thmb/9QILNayF4bWCbBKWVLvME86x034=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/how-to-grow-and-care-for-a-cherry-tree-5076954-hero-327c72364cec40aebb2fa7757c0adc62.jpg,Callery Pear Prunus calleryana.json,30 to 50 feet,Spring,White,
"Water hyssop, brahmi, herb of grace",Bacopa monnieri,Plantaginacae,"Herbaceous, perennial",,"Full, partial","Moist, wet; grows even in standing water",Acidic to neutral (5.0 to 7.0),8–11 (USDA),"Warm wetlands of Americas, Asia, Africa",https://www.thespruce.com/thmb/CHr6X9e30BhkOIQ-cAxKP5NUKzg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/water-hyssop-plant-profile-5025059-hero-c55f8b74c8fa492b8deb0933ebeb95de.jpg,Brahmi Bacopa monnieri.json,"1–3 ft. tall, 1–4 ft. wide",Late spring to early fall,White to light pink,
Almond tree,Prunus dulcis,,Deciduous tree,,Full sun,"Rich, deep, well-drained loam",Slightly acidic to neutral to slightly alkaline,7 to 9,North Africa and the Middle East,https://www.thespruce.com/thmb/9zJleNYMO3HWY_wRgm2u0H8FdC8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/how-to-grow-almond-trees-4779869-hero-2c7db1ad1d7243c394b3c4a93357dc41.jpg,Almond Tree Prunus dulcis.json,10 to 15 feet tall and wide,March,"White, pink",
"Weeping crabapple, weeping crab",Malus spp.,Rosaceae,Deciduous fruit tree,,Full,"Rich, well-draining",Slightly acidic (5.5–6.5),4–8 (USDA),"North America, Europe, Asia",https://www.thespruce.com/thmb/-Pj1FEHbwxtXMozo3OqbWfhKKo4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-weeping-redbud-trees-5085809-hero-1dbdda638cc64787929febc93792ed5e.jpg,Weeping Crabapple Malus.json,"10–15 ft. tall, 8–15 ft. wide",Early spring,White or pink,Seeds are toxic to human and animals
Lodgepole pine,Pinus contorta,Pinaceae,"Coniferous, evergreen",,"Full, partial",Adaptable,5.0 to 7.5,8-Apr,North America,https://www.thespruce.com/thmb/d4XMGFZyUJsPMCLHGhjh8x6yAN8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/lombardy-poplar-trees-2132395-hero-b154d452a34544d18e0dd7b7be45cad2.jpg,Lodgepole Pine Pinus contorta.json,Varies; 3.5 ft. to 160 ft.,June,Pale Yellow,
"Flax lily, Tasman flax lily",Dianella tasmanica,Asphodelaceae,Perennial,,"Partial, Full","Sandy, loamy, well-drained","Acidic, neutral","9, 10, 11","Australia, Asia",https://www.thespruce.com/thmb/cVh5cwrmPHPHbCWLtR4EDjLRrvQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/crabapple-tree-plant-profile-4801469-17-762721c06e364ab6804079933d4c50c5.jpg,Flax Lily Dianella tasmanica.json,1.5 to 2 ft. tall and 2.5 to 3 ft. wide,Spring,"Blue, white",
"Coreopsis, tickseed, calliopsis",Coreopsis spp.,Asteraceae,"Perennial, annual",,Full sun,"Sandy, well-drained",Neutral to acidic,"2–11, USA","North America, Central America, South America",https://www.thespruce.com/thmb/Tp0T65JtsaEHHiMy0Y_rCui0YoU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/KaraRileyPothos-4-64af960f3dcd445793a34ef955cb6d16.jpg,Pot of Gold Coreopsis.json,"2–4 ft. tall, 1-2 ft. wide (varies by species)","Summer, fall","Red, orange, yellow, pink, white",
"Cornflower, bachelor's button",Centaurea cyanus,Asteraceae,Annual,,"Full, partial","Moist, well-drained",Alkaline,2–11 (USDA),Europe,https://www.thespruce.com/thmb/yq-la845wLegXJdYTsf4PCArUoQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/babys-breath-garden-favorite-4082480-hero-3541658fa2994c57b0b7bea92973f2b8.JPG,Bachelor's Button Centaurea cyanus.json,"12–48 in. tall, 10–12 in. wide","Spring, summer","Blue, purple, pink, white, red",
"Trident maple, three-toothed maple",Acer buergerianum,Sapindaceae,Deciduous tree,,Full,"Moist, well-drained",Acidic to neutral,5-9 (USDA),"Asia (Eastern China, Japan)",https://www.thespruce.com/thmb/kqCBh7w0tzW62bUBGLUgMq6z0ig=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/thespruce.com-stop-spreading-of-trumpet-vines-2132896-3-db20d613c3ac4219bdf2d3857d7ea67c.jpg,Trident Maple Acer buergerianum.json,"25-35 ft. tall, 15-25 ft. Wide",Early spring,Greenish-yellow (inconspicuous),
"Robellini palm, pygmy date palm, miniature date palm",Phoenix roebelenii,,Tree,,"Full sun, partial sun",Moist but well-drained,"Acidic, neutral, alkaline","9a, 9b, 10a, 10b, 11a, 11b",Asia,https://www.thespruce.com/thmb/3BqhwoCmjwAyz5X0I3Mcj_gWXMU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-rocky-mountain-juniper-5078436-Hero-9e0652f85bb14a20aea1d13b0979febc.JPG,Robellini Palm Phoenix roebelenii.json,"6-12 ft. tall, 5-10 ft. wide",Spring,Creamy white,
"Cryptanthus bromeliad, cryptanthus, earth star",Cryptanthus spp.,Bromeliaceae,Terrestrial bromeliad,,Bright indirect light; resents direct sunlight,Bromeliad potting mix,4.0–6.0 (acidic),10–11 (USDA),Brazil,https://www.thespruce.com/thmb/jxCeB1ro1DalkhZLwbxDwVUT08Y=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/KaraRileyCryptanthus-14b-781232a70a94498a890b19353641ee69.jpg,Cryptanthus Cryptanthus.json,3 in. to 3 ft. (varies by species),Blooms once only,White or pink (but generally grown for foliage),
"Chokecherry, bitter-berry, wild cherry",Prunus virginiana,,Tree,,"Full, partial","Loamy, sandy, clay, moist","Acidic, neutral, alkaline","2-7, USA",North America,https://www.thespruce.com/thmb/u4GpjIvqEtKxjA0kz4G77IVXmXQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/chokecherries-profile-5189581-hero-c778aaa124664821aef85ba9d90e65e4.jpg,Chokecherry Prunus virginiana.json,"30 ft. tall, 20 ft. wide","Spring, summer",White,Toxic to people and pets; fruit is non-toxic to people
Nasturtium,Tropaeolum spp.,Tropaeolaceae,"Annual, perennial",,Full,Moist but well-drained,"Acidic, neutral, alkaline",9 to 11 (USDA),"Central America, South America",https://www.thespruce.com/thmb/qPoRedBI4Xau0NAjEV6Z_iiRffc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/adams-needle-yucca-filamentosa-2131814-03-341c2a69afe6433caebc427e314f50cf.jpg,Nasturtium Tropaeolum.json,"1-10 ft. tall, 1-3 ft. wide","Spring, summer, fall","Red, orange, pink, yellow, white",
Dawn redwood,Metasequoia glyptostroboides,Cupressaceae,Tree,,Full,"Loamy, well-drained",Acidic,4-8 (USDA),Asia,https://www.thespruce.com/thmb/GTQpuF0hxY9-Rr1RFyYsvxXHFv8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/dawn-redwood-growing-profile-3269307-hero-bc08373ebbe54364b9c022137d30e746.jpg,Dawn Redwood Metasequoia glyptostroboides.json,"75-100 ft. tall, 15-25 ft. wide",,,
"Pineapple lily, pineapple flower",Eucomis spp.,Asparagaceae,"Perennial, annual, bulb",,"Full, partial","Loamy, well-drained","Acidic, neutral, alkaline",7-10 (USDA),Africa,https://www.thespruce.com/thmb/iovU_TPCG9bVXFKJNpSfuPoo3Zo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/pink-dogwood-trees-2132136_08-ae92baf3bd0e473686a226d223affd02.JPG,Pineapple Lily Eucomis.json,"18-36 in. tall, 18-24 in. wide",Summer,"Green, purple, pink, white",
